Model,Threshold,Accuracy,Precision,Recall,F1
Tuned Random Forest,0.2,0.4104586556269746,0.20349215744303048,0.9796267274540533,0.33698448871572445
Tuned Random Forest,0.25,0.4692450157969278,0.21898094126798912,0.9625302749679442,0.3567901560560851
Tuned Random Forest,0.3,0.5233249809347423,0.2354156278937246,0.9417295911098447,0.3766703706869533
Tuned Random Forest,0.35,0.5743980825798017,0.2529806553493881,0.9129505627582276,0.39617917091718446
Tuned Random Forest,0.4,0.6239677524784835,0.27340326649847296,0.8800398917224675,0.4171957314602188
Tuned Random Forest,0.45,0.6699858372371718,0.2948659700136302,0.832169824761362,0.43544058446399286
Tuned Random Forest,0.5,0.713411046955006,0.31992719586660406,0.7763214133067389,0.45312045237204274
Tuned Random Forest,0.55,0.750953262882667,0.34706331045003813,0.713064539108135,0.466884328358209
Tuned Random Forest,0.6,0.7823292297635908,0.37511559478772594,0.6357030916084913,0.4718198160093053
Tuned Random Forest,0.65,0.8113737879943349,0.4116695427092321,0.5438096594956546,0.4686022957461175
Tuned Random Forest,0.7,0.8329883429567491,0.4522047943178455,0.4353896566462459,0.44363794730347683
Tuned Gradient Boosting,0.2,0.7666194574572394,0.3605740181268882,0.680153868072375,0.47129670763611237
Tuned Gradient Boosting,0.25,0.8030940189563133,0.40238003095975233,0.5925345490810657,0.47928550849899165
Tuned Gradient Boosting,0.3,0.824686785052838,0.4353681560730019,0.49280524291209576,0.4623095429029671
Tuned Gradient Boosting,0.35,0.8395250027236082,0.47125290794283814,0.4040461604217125,0.43506941781084607
Tuned Gradient Boosting,0.4,0.849329992373897,0.5116435288849082,0.3255449494229947,0.3979103178058337
Tuned Gradient Boosting,0.45,0.8548207865780586,0.5575307045895281,0.24576150448781878,0.3411450608128152
Tuned Gradient Boosting,0.5,0.8559320187384246,0.6036678553234844,0.1688274683003277,0.2638610554442218
Tuned Gradient Boosting,0.55,0.8541017540037041,0.6274664561957379,0.113263997720473,0.19188993482983346
Tuned Gradient Boosting,0.6,0.852990521843338,0.6852861035422343,0.07166263000427411,0.12975622339739457
Tuned Gradient Boosting,0.65,0.8506155354613792,0.7150395778364116,0.03860948853112979,0.07326304406596378
Tuned Gradient Boosting,0.7,0.848305915677089,0.7766990291262136,0.011397634990739421,0.02246559955068801
