Feature,Importance
HighBP,0.29098445596604455
GenHlth,0.2610821454845314
BMI,0.17587485310564582
Age,0.08870284380670303
HighChol,0.07923637602783337
DiffWalk,0.03234007808230178
HeartDiseaseorAttack,0.026771860701586693
HvyAlcoholConsump,0.012913818616053237
Income,0.009604639177205177
Sex,0.0076356517661992
CholCheck,0.006838259419264839
MentHlth,0.0024588104328282165
Stroke,0.002208867913271532
Education,0.0017339906344160617
PhysHlth,0.001076309817203714
NoDocbcCost,0.00027651432796404134
Smoker,0.00017420695703447247
PhysActivity,5.3152872430875036e-05
AnyHealthcare,3.316489148213832e-05
Veggies,0.0
Fruits,0.0
