Feature,Importance
BMI,0.16233711077280844
Age,0.12617922066913898
GenHlth,0.12145361886276829
HighBP,0.10379796817181634
Income,0.07349056013952955
PhysHlth,0.06514645018025197
HighChol,0.052200336975629924
Education,0.048923186086085604
MentHlth,0.048679483042069156
DiffWalk,0.028801924670627765
Smoker,0.023983031926821014
Fruits,0.023752163609336446
Sex,0.021950890533340088
PhysActivity,0.020083456611185303
HeartDiseaseorAttack,0.019888083234717965
Veggies,0.018405359840839266
HvyAlcoholConsump,0.010005102626639647
NoDocbcCost,0.009891005343342564
CholCheck,0.007644405817171212
Stroke,0.007593255691323184
AnyHealthcare,0.005793385194557239
