Model,Threshold,Precision,Recall,F1-Score
Logistic Regression,0.2,0.209515911045583,0.9717908533979199,0.3447125710675932
Logistic Regression,0.25,0.22716468590831917,0.9531272261005841,0.36688694507664044
Logistic Regression,0.3,0.2454607097114443,0.9283373699957259,0.3882615820050648
Logistic Regression,0.35,0.2632283991962492,0.8958541102721186,0.4068981136959265
Logistic Regression,0.4,0.2811989355245343,0.8580994443652942,0.4235881566917505
Logistic Regression,0.45,0.29950599117090604,0.8119390226527995,0.43759358083464506
Logistic Regression,0.5,0.3182604545725705,0.7600797834449352,0.4486586493987049
Logistic Regression,0.55,0.34009242016690805,0.7025217267417011,0.4583139696997862
Logistic Regression,0.6,0.36548758721401914,0.6418293204160137,0.4657534246575342
Logistic Regression,0.65,0.39209306911170266,0.5666049294771335,0.46346579652721126
Logistic Regression,0.7,0.42108546475358705,0.48083772617181936,0.44898230677131834
Random Forest,0.2,0.23602664349840718,0.9289072517452629,0.37641081892445805
Random Forest,0.25,0.25504713355180647,0.8981336372702664,0.397277539702546
Random Forest,0.3,0.2745044553555192,0.8602365009260579,0.41619851800792695
Random Forest,0.35,0.2948207171314741,0.8117965522154154,0.43255143095726106
Random Forest,0.4,0.3149161413108124,0.7543809659495655,0.4443418789073973
Random Forest,0.45,0.33685307398402226,0.6908391508761932,0.4528812926123097
Random Forest,0.5,0.361892901618929,0.6210286365579142,0.4573017205203525
Random Forest,0.55,0.3858971753708596,0.5411027211853541,0.45050708736136647
Random Forest,0.6,0.416849722186329,0.45960963100156715,0.4371866106518498
Random Forest,0.65,0.45486171508088363,0.3725601937597948,0.40961779448621555
Random Forest,0.7,0.49614197530864196,0.2748254737142043,0.3537177959108829
Gradient Boosting,0.2,0.36271083421972344,0.680153868072375,0.4731182795698925
Gradient Boosting,0.25,0.4046580773042616,0.5817067958398632,0.47729265298965456
Gradient Boosting,0.3,0.4409872653275568,0.4785581991736715,0.4590051926755944
Gradient Boosting,0.35,0.4814750087382034,0.3925060549935888,0.43246213013107293
Gradient Boosting,0.4,0.5196454240536655,0.30901837868642257,0.3875636558563388
Gradient Boosting,0.45,0.5640581717451524,0.23208434249893148,0.32885838296154235
Gradient Boosting,0.5,0.60366870483602,0.15472289499928765,0.24631435699705148
Gradient Boosting,0.55,0.6274848746758859,0.10343353754096025,0.17759295499021527
Gradient Boosting,0.6,0.6728045325779037,0.06767345775751532,0.12297734627831715
Gradient Boosting,0.65,0.7375415282392026,0.031628437099301895,0.060655737704918035
Gradient Boosting,0.7,0.8163265306122449,0.005698817495369711,0.011318619128466326
